id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.zone,children_count.woreda,zip_codes,geo.lat,geo.lon
ET0808,2,ዞን,Zone,Kore,Kore,kore,ET0808,,ET08,South Ethiopia,South Ethiopia,,,2,,5.788,37.815
ET0809,2,ዞን,Zone,Konso,Konso,konso,ET0809,,ET08,South Ethiopia,South Ethiopia,,,5,,5.355,37.369
ET0810,2,ዞን,Zone,Burji,Burji,burji,ET0810,,ET08,South Ethiopia,South Ethiopia,,,1,,5.482,37.777
ET0811,2,ዞን,Zone,Gedeo,Gedeo,gedeo,ET0811,,ET08,South Ethiopia,South Ethiopia,,,13,,6.144,38.272
ET0812,2,ዞን,Zone,South Omo,South Omo,south-omo,ET0812,,ET08,South Ethiopia,South Ethiopia,,,7,,5.049,36.413
ET11,1,ክልል,Region,South West Ethiopia,South West Ethiopia,south-west-ethiopia,ET11,,,,,,6,59,,6.977,36.192
ET1101,2,ዞን,Zone,Sheka,Sheka,sheka,ET1101,,ET11,South West Ethiopia,South West Ethiopia,,,5,,7.538,35.413
ET1102,2,ዞን,Zone,Kefa,Kefa,kefa,ET1102,,ET11,South West Ethiopia,South West Ethiopia,,,17,,7.228,36.078
ET1103,2,ዞን,Zone,Bench Sheko,Bench Sheko,bench-sheko,ET1103,,ET11,South West Ethiopia,South West Ethiopia,,,10,,6.928,35.363
ET1104,2,ዞን,Zone,Dawuro,Dawuro,dawuro,ET1104,,ET11,South West Ethiopia,South West Ethiopia,,,12,,6.971,37.1
ET1105,2,ዞን,Zone,West Omo,West Omo,west-omo,ET1105,,ET11,South West Ethiopia,South West Ethiopia,,,10,,6.146,35.554
ET1106,2,ዞን,Zone,Konta,Konta,konta,ET1106,,ET11,South West Ethiopia,South West Ethiopia,,,5,,6.871,36.609
ET12,1,ክልል,Region,Gambela,Gambela,gambela,ET12,,,,,,4,15,,7.684,34.337
ET1201,2,ዞን,Zone,Nuwer,Nuwer,nuwer,ET1201,,ET12,Gambela,Gambela,,,5,,8.112,33.263
ET1202,2,ዞን,Zone,Agnewak,Agnewak,agnewak,ET1202,,ET12,Gambela,Gambela,,,7,,7.548,34.455
ET1203,2,ዞን,Zone,Majang,Majang,majang,ET1203,,ET12,Gambela,Gambela,,,2,,7.29,35.128
ET1204,2,ዞን,Zone,Itang Special,Itang Special,itang-special,ET1204,,ET12,Gambela,Gambela,,,1,,8.346,34.22
ET13,1,ክልል,Region,Harari,Harari,harari,ET13,,,,,,1,9,,9.29,42.173
ET1301,2,ዞን,Zone,Harari,Harari,harari,ET1301,,ET13,Harari,Harari,,,9,,9.29,42.173
ET14,1,ክልል,Region,Addis Ababa,Addis Ababa,addis-ababa,ET14,,,,,,1,11,,8.98,38.786
ET1401,2,ዞን,Zone,Region 14,Region 14,region-14,ET1401,,ET14,Addis Ababa,Addis Ababa,,,11,,8.98,38.786
ET15,1,ክልል,Region,Dire Dawa,Dire Dawa,dire-dawa,ET15,,,,,,2,13,,9.582,41.881
ET1501,2,ዞን,Zone,Dire Dawa urban,Dire Dawa urban,dire-dawa-urban,ET1501,,ET15,Dire Dawa,Dire Dawa,,,9,,9.624,41.836
ET1502,2,ዞን,Zone,Dire Dawa rural,Dire Dawa rural,dire-dawa-rural,ET1502,,ET15,Dire Dawa,Dire Dawa,,,4,,9.562,42.034
ET16,1,ክልል,Region,Sidama,Sidama,sidama,ET16,,,,,,5,37,,6.664,38.546
ET1601,2,ዞን,Zone,Hawassa town Admin,Hawassa town Admin,hawassa-town-admin,ET1601,,ET16,Sidama,Sidama,,,1,,7.017,38.491
ET1602,2,ዞን,Zone,Northern,Northern,northern,ET1602,,ET16,Sidama,Sidama,,,10,,6.979,38.26
ET1603,2,ዞን,Zone,Central,Central,central,ET1603,,ET16,Sidama,Sidama,,,7,,6.747,38.423
ET1604,2,ዞን,Zone,Southern,Southern,southern,ET1604,,ET16,Sidama,Sidama,,,10,,6.543,38.453
ET1605,2,ዞን,Zone,Eastern,Eastern,eastern,ET1605,,ET16,Sidama,Sidama,,,9,,6.428,38.923
ET99,1,ክልል,Region,Contested,Contested,contested,ET99,,,,,,3,18,,13.797,37.274
ET9901,2,ዞን,Zone,Area 1,Area 1,area-1,ET9901,,ET99,Contested,Contested,,,9,,13.829,37.098
ET9902,2,ዞን,Zone,Area 2,Area 2,area-2,ET9902,,ET99,Contested,Contested,,,3,,13.637,38.145
ET9903,2,ዞን,Zone,Area 3,Area 3,area-3,ET9903,,ET99,Contested,Contested,,,6,,12.488,39.527
